John's world is a world of ideas, a world in which ideas don't belong to anyone, and in which, when an idea is wrong, just the idea – not the person – is wrong. A world in which ideas are like young birds, and we catch them and proudly show them to our friends... Some people won't show you the birds they've caught until they are positive that they – the birds, or themselves – are gorgeous, or rare, or remarkable. When your mind can separate yourself from it, you will share it sooner, and the beauty of the bird will be sooner enjoyed.	Richard Gabriel	
'...if we wanted people to fly, we would have given them wings.&quot;You gave me wings when you showed me birds.&quot;	Terry Pratchett	
Don't just read it; fight it!	Paul Halmos	
all models are wrong; the practical question is how wrong can they be before they are not useful.	George Box	
At every single stage [of processing information] — from its biased arrival, to its biased encoding, to organizing it around false logic, to misremembering and then misrepresenting it to others — the mind continually acts to distort information flow in favor of the usual goal of appearing better than one really is.	Robert Trivers	
I believe there is no philosophical high-road in science, with epistemological signposts. No, we are in a jungle and find our way by trial and error, building our road behind us as we proceed.	Max Born	
If error is corrected whenever it is recognised, the path of error is the path of truth.	Hans Reichenbach	
There is a crack in everything. That's how the light gets in.	Leonard Cohen	
Writing: store knowledge in a brain-independent form that can be easily replicated, transmitted and preserved.<br><br>Mathematics: constructing abstract systems, reasoning about them precisely and finding connections between them.<br><br>Science: finding abstract systems which map closely to the real world.The reason why we teach these in schools to everyone everywhere is that they are part of your cultural inheritance as a human. It is your right to have these tools. Over the last few hundred years they have empowered us to eradicate diseases, light the dark and explore the stars. Recently a fourth major tool was added to the list: <br>Computing: arranging inanimate systems to simulate arbitrary abstract systems	Jamie Brandon	
Killing ideas is a necessary part of science. Think of it as community service.	Sabine Hossenfelder	
Reading and experience train your model of the world. And even if you forget the experience or what you read, its effect on your model of the world persists. Your mind is like a compiled program you've lost the source of. It works, but you don't know why.	Paul Graham	
If falsehood had only one face, as the truth does, we'd know where we were: we could take the opposite of what a liar said to be the truth. But the opposite of the truth has a hundred thousand shapes and a limitless field.	Montaigne	
Seek not the paths of the ancients; seek what they sought.	Matsuo Bashō	
Books must follow science, and not science books.	Francis Bacon	
...the reason human beings could not reject ideas because they were bad: Ideas on Earth were badges of friendship or enmity. Their content did not matter. Friends agreed with friends, in order to express friendliness. Enemies disagreed with enemies, in order to express enmity.	Kurt Vonnegut Jr	
Virtue the only nobility, reason the only authority.	the Enlightenment	
Much of the wisdom of the world is not wisdom, and the most illuminated class of men are no doubt superior to literary fame, and are not writers.	Emerson	
The line between cynicism and misanthropy — between thinking ill of human motives and thinking ill of humans — is often blurry. So we want readers to understand that although we may often be skeptical of human motives, we love human beings (many of our best friends are human!).	Hanson and Simler	
...however true [your claim] may be, if it is not fully, frequently, and fearlessly discussed, it will be held as a dead dogma, not a living truth... Truth, thus held, is but one superstition the more, accidentally clinging to the words which enunciate a truth.	JS Mill	
Your denial of the importance of objectivity amounts to announcing your intention to lie to us. No-one should believe anything you say.	John McCarthy	
There are no subject matters; no branches of learning - or, rather, of inquiry: there are only problems, and the urge to solve them. A science such as botany or chemistry is, I contend, merely an administrative unit... even serious students are misled by the myth of the subject. And I should be reluctant to call anything that misleads a person a convenience to that person.	Karl Popper	
You'll soon find a stick if you set out to beat a dog.	Proverb	
When there's a will to fail, obstacles can be found.	John McCarthy	
Everything's already been said, but since nobody was listening, we have to start again.	André Gide	
If you make people think they're thinking, they'll love you; but if you really make them think they'll hate you.	Don Marquis	
One of the best ways to teach people not to rebel is to offer plenty of ruts for fake rebellion.	Norman Solomon	
I hold that everyone needs to learn at least one technical subject: physics, computer science, evolutionary biology, Bayesian probability theory, or something. Someone with no technical subjects under their belt has no referent for what it means to “explain” something.	Eliezer Yudkowsky	
Without writing, you are reduced to a finite automaton. With writing you have the extraordinary power of a Turing machine.	Manuel Blum	
Litany: If I think up what seems like an obvious objection, I will resist assuming that I have found an [absurdly vitiating flaw] in the experts &quot; logic. Instead I may ask politely whether my argument is a valid one, and if not, where the flaw lies.	shminux	
Science is what we understand well enough to explain to a computer. Art is everything else we do. 	Donald Knuth	
The history of science, like the history of all human ideas, is a history of irresponsible dreams, of obstinacy, and of error.	Karl Popper	
There are books in which the footnotes, or the comments scrawled by some reader's hand in the margin, are more interesting than the text. The world is one of those books.	George Santayana	
Plato says in &quot;Phaedo &quot; that our imaginary ideas arise from the pre-existence of the soul, are not derivable from experience. Read &quot;monkeys &quot; for &quot;pre-existence'!	Darwin	
If any man can show me I do not think or act right, I will gladly change; for I seek the truth, by which no man was ever injured. He is injured  who abides in error and ignorance.	Marcus Aurelius	
Reading and experience train your model of the world. And even if you forget the experience or what you read, its effect on your model of the world persists. Your mind is like a compiled program you’ve lost the source of. It works, but you don’t know why.	Paul Graham	
The man scarce lives  who is not more credulous than he ought to be... The natural disposition is always to believe. It is acquired wisdom and experience only that teach incredulity, and they very seldom teach it enough.	Adam Smith	
Fear not known but unknown propaganda; I have the utmost respect for Pravdas - how else will you know what to not believe?	Gwern	
If someone does not believe in fairies, he need not teach his children &quot;There are no fairies&quot;; he can omit to teach them the word &quot;fairy&quot;	Ludwig Wittgenstein	
Discovery consists in&nbsp;seeing what everyone has seen and thinking what no&#;one has thought.	Schopenhauer	
In science, if you know what you are doing, you should not be doing it. In engineering, if you do not know what you are doing, you should not be doing it.	Richard Hamming	
Those who will not reason, are bigots, those who cannot, are fools, and those who dare not, are slaves.	George Gordon Byron	
It is a profoundly erroneous truism... that we should cultivate the habit of thinking of what we are doing. The precise opposite is the case. Civilization advances by extending the number of important operations which we can perform without thinking about them.	Alfred North Whitehead	
Convictions are greater enemies of truth than lies.	Nietzsche	
Faced with a choice between changing one's mind and proving there is no need to do so, almost everyone gets busy on the proof.	John Kenneth Galbraith	
Everything that can be said, can be said clearly.	Ludwig Wittgenstein	
Penye wengi, pana mengi.	Swahili proverb	
The more you know, the more you see; the more you see...	John Hitchcock	
a special use of language, often over the heads of untrained readers, that seeks to express truths concisely &amp; with precision, that allows us to understand otherwise inaccessible things, changing our experience in the process.	Robert Creasey	
Things are not what they appear to be: nor are they otherwise.	the Lankavatara Sutra	
...when told by his pupil, Elizabeth Anscombe, that it was easy to understand why people thought the sun went round the earth, Wittgenstein asked, &quot;Why would they think that?&quot;<br> &quot;Well,&quot; said Anscombe, &quot;it looks that way.&quot; To which Wittgenstein replied, &quot;And how would it look if the earth went round the sun? 		
You will object to me: what good are classes, genera, systems! I answer you: Order and simplification are the first steps toward mastery of a subject — the actual, terrible enemy is the unknown.	Thomas Mann	
If there were a verb meaning &quot;to believe falsely,&quot; it would not have any significant first person, present indicative.	Ludwig Wittgenstein	
Einstein: God doesn't play dice! Bohr: It's not for us to dictate to God how to rule the world. 		
But in our enthusiasm, we could not resist a radical overhaul of the system, in which all of its major weaknesses have been exposed, analyzed, and replaced with new weaknesses.	Bruce Leverett	
A conclusion is simply the place where someone got tired of thinking. 	Arthur Bloch?	
