path,year,wordcount,importance,pride,n_tags,tags
2010-02-17-chuck-ragan.markdown,2010,2240,3,,3,music;punk;interview
2010-05-06-onlove.markdown,2010,2271,6,,2,becoming;love
2010-09-06-punk.markdown,2010,4783,5,,4,music;politics;subculture;criticism
2010-09-06-tractatus.markdown,2010,1486,3,,0,
2010-10-30-joanna.markdown,2010,6586,4,8,3,music;love;art
2011-01-02-mysticism.markdown,2011,6550,2,,3,philosophy;nonsense;rationality
2011-02-11-why-econ.markdown,2011,738,7,,1,cause-prioritisation
2011-04-03-infinite-jest.markdown,2011,2007,3,,1,meaning
2011-04-03-scots-nietz.markdown,2011,232,3,,2,philosophy;scotland
2011-08-17-sentiment.md,2011,5345,4,,3,travel;becoming;places
2011-10-17-arts-lie-dreaming.markdown,2011,1776,2,,3,music;lists;criticism
2011-10-20-rubination.markdown,2011,568,3,,3,music;criticism;lists
2011-10-23-econ-and-life.markdown,2011,2047,6,,3,economics;philosophy;becoming
2012-03-09-brainwash.markdown,2012,1639,7,,4,philosophy;politics;epistemology;becoming
2012-05-29-graduate-desperate-instrument.md,2012,731,5,,5,becoming;work;philosophy;academia;effective-altruism
2012-08-24-overheads.markdown,2016,496,5,,4,lists;rationality;self-help;quantified-self
2013-01-18-crafts.markdown,2013,790,,,2,agency;art
2013-01-19-civ.markdown,2013,1161,4,,5,history;vidya;fun;social-science;theory
2013-06-11-the-decline-nofx.markdown,2013,2304,9,,4,music;art;punk;politics
2013-06-14-limits-to-self-invention.markdown,2013,1601,6,,4,self-help;philosophy;becoming;false-framework
2014-01-10-going-ea.markdown,2014,1891,9,,2,effective-altruism;becoming
2014-04-1-Rorty-and-the-Wild-Party.markdown,2014,1513,7,,2,effective-altruism;becoming
2014-07-31-comparing.markdown,2014,1988,7,,3,self-help;mental-health;philosophy
2015-08-05-sour-grapes.markdown,2015,1253,5,,2,science;scepticism
2015-09-01-crave-new-world.markdown,2015,1988,8,,1,philosophy
2015-09-01-pieties.markdown,2015,2623,4,,2,social-science;criticism
2015-10-15-php.markdown,2015,580,4,,1,computers
2016-04-09-boot-drive.markdown,2016,243,4,,1,comput
