year,tag,split_words
2009,ai,801.0
2009,philosophy,801.0
2010,art,2195.3
2010,love,4466.3
2010,music,4909.7
2010,politics,1594.3
2010,punk,1120.0
2010,subculture,1594.3
2011,cause-prioritisation,738.0
2011,economics,1023.5
2011,meaning,2007.0
2011,music,2344.0
2011,nonsense,2183.3
2011,philosophy,3322.8
2011,places,2672.5
2011,rationality,2183.3
2011,scotland,116.0
2011,travel,2672.5
2012,academia,182.8
2012,effective-altruism,182.8
2012,epistemology,546.3
2012,philosophy,729.1
2012,politics,546.3
2012,work,182.8
2013,agency,395.0
2013,art,971.0
2013,false-framework,800.5
2013,fun,232.2
2013,history,232.2
2013,music,576.0
2013,philosophy,800.5
2013,politics,576.0
2013,punk,576.0
2013,social-science,232.2
2013,theory,232.2
2013,vidya,232.2
2014,effective-altruism,3404.0
2014,ethics-of-belief,138.5
2014,meaning,138.5
2014,mental-health,994.0
2014,philosophy,994.0
2015,computers,698.0
2015,encompassing,118.0
2015,maths,118.0
2015,philosophy,2106.0
2015,scepticism,626.5
2015,science,626.5
2015,social-science,2623.0
2016,ai,752.7
2016,comput,243.0
2016,economics,752.7
2016,effective-altruism,831.0
2016,ethics,2217.0
2016,game-theory,269.0
2016,philosophy,898.0
2016,quantified-self,248.0
2016,rationality,248.0
2016,social-science,269.0
2016,stats,269.0
2016,transhumanism,752.7
2017,a,0.0
2017,art,2577.0
2017,cause-prioritisation,879.5
2017,code,187.0
2017,computers,3188.8
2017,computing,0.0
2017,conceptual-analysis,710.3
2017,data columbo,19.3
2017,data-science,4029.0
2017,economics,2719.3
2017,education,1363.3
2017,effective-altruism,1356.0
2017,epistemology,95.0
2017,ethics,1356.0
2017,greats,2478.5
2017,history,1208.8
2017,homebrew science,24.0
2017,kaggle,31.7
2017,language,482.0
2017,machine learning,500.5
2017,machine-learning,4060.7
2017,maths,277.7
2017,meaning,1363.3
2017,modernity,24.0
2017,music,2577.0
2017,naturalism,95.0
2017,nlp,174.0
2017,philosophy,5564.3
2017,philosophy of science,517.5
2017,physics,474.5
2017,politics,277.7
2017,programming,9.0
2017,quantification,879.5
2017,rationality,287.0
2017,reason,277.7
2017,scary-futurism,1139.0
2017,scepticism,952.8
2017,science,31.7
2017,social science,19.3
2017,social-science,9456.3
2017,stats,8671.8
2018,ai,2083.2
2018,biology,250.0
2018,biorisk,1198.3
2018,computers,2724.0
2018,concrete,241.2
2018,effective-altruism,646.7
2018,epistemology,3207.3
2018,ethics,646.7
2018,ethics-of-belief,1232.3
2018,fiction,991.0
2018,forecasting,117.5
2018,goodhart,1244.0
2018,greats,2148.7
2018,history,2057.2
2018,longtermism,638.0
2018,maths,1353.7
2018,meaning,1455.0
2018,philosophy,7164.1
2018,philosophy of science,776.7
2018,progress,525.8
2018,rationality,1074.5
2018,reinforcement learning,241.2
2018,rl,695.5
2018,science,1879.1
2018,suffering,250.0
2018,technical,241.2
2018,transhumanism,250.0
2018,virtue ethics,776.7
2018,xrisk,1836.3
2019,biology,322.7
2019,cs,217.0
2019,ethics,437.7
2019,finance,849.3
2019,greats,437.7
2019,literature,1847.0
2019,maths,1627.7
2019,metaphysics,217.0
