tag,posts,split_pct,importance_pct,raw_words,split_words,importance_words,first_year,last_year
philosophy,42,6.93,3.82,85136,33146.4,18260.86,2009,2026
ai,25,6.81,4.78,49276,32542.5,22869.41,2009,2025
music,19,6.35,1.85,52244,30345.6,8827.21,2010,2025
social-science,14,3.29,1.38,38022,15715.9,6618.26,2013,2026
meaning,19,2.73,1.52,36428,13065.6,7275.67,2011,2024
greats,16,2.7,1.72,33509,12909.3,8223.99,2017,2026
art,16,2.69,1.03,38867,12885.2,4903.87,2010,2026
science,20,2.54,1.58,34959,12156.5,7562.08,2015,2026
phd,7,2.27,1.03,16351,10871.3,4923.33,2020,2024
places,11,2.19,0.95,23559,10487.2,4535.12,2011,2025
history,14,2.08,0.95,25409,9969.0,4542.86,2013,2025
stats,6,1.97,0.86,18651,9421.8,4131.75,2016,2023
maths,18,1.89,0.99,29898,9028.9,4757.23,2015,2026
longtermism,10,1.8,1.4,25791,8589.7,6690.73,2018,2022
politics,11,1.74,0.98,31290,8332.7,4673.71,2010,2026
epistemology,11,1.71,0.79,24546,8196.9,3783.62,2012,2025
ethics,9,1.56,1.04,20436,7449.3,4966.33,2016,2026
computers,7,1.54,0.85,17631,7374.4,4075.03,2015,2025
subculture,6,1.48,0.41,15675,7065.1,1956.03,2010,2022
rationality,14,1.45,0.64,22992,6933.6,3072.24,2011,2025
effective-altruism,6,1.34,1.08,11805,6420.4,5183.98,2012,2018
economics,8,1.2,0.79,17369,5753.9,3791.34,2011,2025
literature,5,1.18,0.61,15045,5641.7,2933.91,2019,2025
quantification,4,1.1,0.53,7247,5262.5,2550.05,2017,2020
machine-learning,4,1.08,0.43,12403,5141.2,2069.23,2017,2024
psychology,4,1.08,0.42,14399,5184.0,2000.27,2020,2026
love,2,0.93,0.47,8857,4466.3,2240.73,2010,2010
my-classes,5,0.85,0.23,12783,4068.1,1122.52,2023,2025
data-science,1,0.84,0.34,8058,4029.0,1611.6,2017,2017
uni,8,0.82,0.3,10626,3905.2,1446.37,2019,2025
xrisk,5,0.81,0.71,11014,3892.2,3385.72,2018,2024
education,4,0.75,0.31,14349,3603.1,1500.57,2017,2025
egregores,2,0.68,0.23,7286,3264.1,1080.27,2023,2025
writing,4,0.67,0.41,7492,3196.6,1963.93,2020,2025
bloggers,6,0.65,0.31,13382,3105.5,1490.89,2022,2026
academia,4,0.62,0.4,8830,2967.2,1902.38,2012,2024
mental-health,4,0.61,0.26,10639,2929.5,1221.62,2014,2026
travel,1,0.56,0.22,5345,2672.5,1069.0,2011,2011
ethics-of-belief,5,0.54,0.19,9902,2600.7,915.12,2014,2025
biology,6,0.51,0.31,8725,2446.4,1490.69,2018,2026
mind,2,0.5,0.27,12454,2385.0,1301.78,2023,2025
vidya,2,0.47,0.23,9244,2252.9,1103.26,2013,2023
fiction,5,0.47,0.0,2520,2246.2,19.7,2018,2025
nonsense,1,0.46,0.09,6550,2183.3,436.67,2011,2011
humanism,5,0.45,0.19,13397,2167.1,896.58,2024,2026
punk,2,0.35,0.18,4544,1696.0,854.4,2010,2013
scifi,4,0.35,0.3,8234,1683.1,1411.17,2020,2026
cause-prioritisation,2,0.34,0.24,2497,1617.5,1132.25,2011,2017
scepticism,4,0.33,0.12,4171,1579.3,588.35,2015,2017
transhumanism,3,0.32,0.23,6068,1514.7,1085.27,2016,2026
tools-for-thought,3,0.32,0.2,5197,1548.8,942.64,2020,2025
quantified-self,3,0.28,0.13,2964,1320.7,628.07,2016,2020
game-theory,3,0.27,0.05,7527,1286.1,254.68,2016,2024
philosophy of science,3,0.27,0.15,3847,1294.2,705.93,2017,2018
research,3,0.27,0.19,7080,1267.2,923.5,2020,2025
goodhart,1,0.26,0.13,1244,1244.0,622.0,2018,2018
encompassing,5,0.25,0.13,8107,1200.1,599.0,2015,2025
biorisk,1,0.25,0.2,3595,1198.3,958.67,2018,2018
scary-futurism,1,0.24,0.17,1139,1139.0,797.3,2017,2017
suffering,2,0.24,0.21,5805,1161.0,1019.9,2018,2020
fun,4,0.23,0.07,3249,1116.5,352.28,2013,2022
conceptual-analysis,2,0.22,0.12,6502,1074.6,575.53,2017,2025
metaphysics,3,0.22,0.09,7248,1069.8,432.52,2019,2025
alignment,2,0.22,0.17,2151,1048.2,833.07,2023,2025
health,2,0.21,0.12,1784,1022.0,587.2,2020,2023
holes,3,0.2,0.09,7102,948.9,446.72,2023,2025
language,3,0.19,0.1,2811,926.6,498.76,2017,2025
utility,1,0.18,0.09,2548,849.3,424.67,2019,2019
finance,1,0.18,0.09,2548,849.3,424.67,2019,2019
replication,1,0.18,0.11,1692,846.0,507.6,2020,2020
false-framework,1,0.17,0.1,1601,800.5,480.3,2013,2013
rl,2,0.17,0.12,1924,828.8,580.12,2018,2020
virtue ethics,1,0.16,0.08,2330,776.7,388.33,2018,2018
myths,1,0.16,0.11,1548,774.0,541.8,2020,2020
warnings,1,0.16,0.0,3000,750.0,0.0,2024,2024
death,2,0.15,0.06,2195,731.7,279.17,2021,2022
work,3,0.14,0.09,1450,688.2,416.02,2012,2025
code,4,0.14,0.06,1287,675.2,301.67,2017,2021
capitalism,1,0.13,0.06,2411,602.8,301.38,2025,2025
poem,2,0.12,0.0,1758,559.1,8.08,2022,2026
espr,1,0.12,0.09,2804,560.8,448.64,2025,2025
progress,1,0.11,0.08,2103,525.8,368.02,2018,2018
machine learning,3,0.1,0.06,1483,500.5,296.6,2017,2017
physics,1,0.1,0.04,949,474.5,189.8,2017,2017
agency,1,0.08,0.0,790,395.0,0.0,2013,2013
predictions,1,0.08,0.06,1579,394.8,276.32,2020,2020
arb,5,0.07,0.05,830,331.3,259.93,2022,2024
status,1,0.07,0.02,947,315.7,94.7,2022,2022
reason,1,0.06,0.02,833,277.7,83.3,2017,2017
